input_id,ratio,score_mean_kl,sequence_length,context_length,eval_length,mean_hidden_state_norm,attention_entropy,device,model_name
13,0.8,0.4823468327522278,256,192,32,282.9732666015625,2.7269535064697266,mps,Qwen/Qwen2.5-0.5B
14,0.2,1.1484894752502441,256,192,32,300.83099365234375,2.897395610809326,mps,Qwen/Qwen2.5-0.5B
14,0.4,0.6793005466461182,256,192,32,300.83099365234375,2.897395610809326,mps,Qwen/Qwen2.5-0.5B
14,0.6,0.8493732213973999,256,192,32,300.83099365234375,2.897395610809326,mps,Qwen/Qwen2.5-0.5B
14,0.8,0.7046476602554321,256,192,32,300.83099365234375,2.897395610809326,mps,Qwen/Qwen2.5-0.5B
16,0.2,1.4090577363967896,256,192,32,296.906982421875,2.8982834815979004,mps,Qwen/Qwen2.5-0.5B
16,0.4,0.7033311128616333,256,192,32,296.906982421875,2.8982834815979004,mps,Qwen/Qwen2.5-0.5B
16,0.6,0.8788763880729675,256,192,32,296.906982421875,2.8982834815979004,mps,Qwen/Qwen2.5-0.5B
16,0.8,0.6842877864837646,256,192,32,296.906982421875,2.8982834815979004,mps,Qwen/Qwen2.5-0.5B
18,0.2,0.5906222462654114,256,192,32,279.0926208496094,2.915158271789551,mps,Qwen/Qwen2.5-0.5B
18,0.4,0.37596574425697327,256,192,32,279.0926208496094,2.915158271789551,mps,Qwen/Qwen2.5-0.5B
18,0.6,0.3196403980255127,256,192,32,279.0926208496094,2.915158271789551,mps,Qwen/Qwen2.5-0.5B
18,0.8,0.291161447763443,256,192,32,279.0926208496094,2.915158271789551,mps,Qwen/Qwen2.5-0.5B
28,0.2,0.49057117104530334,256,192,32,277.30718994140625,2.8077919483184814,mps,Qwen/Qwen2.5-0.5B
28,0.4,0.5983695983886719,256,192,32,277.30718994140625,2.8077919483184814,mps,Qwen/Qwen2.5-0.5B
28,0.6,0.4226129651069641,256,192,32,277.30718994140625,2.8077919483184814,mps,Qwen/Qwen2.5-0.5B
28,0.8,0.40945157408714294,256,192,32,277.30718994140625,2.8077919483184814,mps,Qwen/Qwen2.5-0.5B
29,0.2,0.9761290550231934,256,192,32,292.065673828125,2.950819969177246,mps,Qwen/Qwen2.5-0.5B
29,0.4,1.2876639366149902,256,192,32,292.065673828125,2.950819969177246,mps,Qwen/Qwen2.5-0.5B
29,0.6,1.1360056400299072,256,192,32,292.065673828125,2.950819969177246,mps,Qwen/Qwen2.5-0.5B
29,0.8,1.1386926174163818,256,192,32,292.065673828125,2.950819969177246,mps,Qwen/Qwen2.5-0.5B
35,0.2,1.1249220371246338,246,192,32,287.48797607421875,2.7740087509155273,mps,Qwen/Qwen2.5-0.5B
35,0.4,0.9054015278816223,246,192,32,287.48797607421875,2.7740087509155273,mps,Qwen/Qwen2.5-0.5B
35,0.6,0.7151259183883667,246,192,32,287.48797607421875,2.7740087509155273,mps,Qwen/Qwen2.5-0.5B
35,0.8,1.1586604118347168,246,192,32,287.48797607421875,2.7740087509155273,mps,Qwen/Qwen2.5-0.5B
37,0.2,1.2280919551849365,256,192,32,279.0699462890625,2.8081464767456055,mps,Qwen/Qwen2.5-0.5B
37,0.4,0.9311240315437317,256,192,32,279.0699462890625,2.8081464767456055,mps,Qwen/Qwen2.5-0.5B
37,0.6,1.002601981163025,256,192,32,279.0699462890625,2.8081464767456055,mps,Qwen/Qwen2.5-0.5B
37,0.8,0.9831716418266296,256,192,32,279.0699462890625,2.8081464767456055,mps,Qwen/Qwen2.5-0.5B
59,0.2,0.6806821823120117,256,192,32,279.1089172363281,2.8334662914276123,mps,Qwen/Qwen2.5-0.5B
59,0.4,0.5609011650085449,256,192,32,279.1089172363281,2.8334662914276123,mps,Qwen/Qwen2.5-0.5B
59,0.6,0.4949514865875244,256,192,32,279.1089172363281,2.8334662914276123,mps,Qwen/Qwen2.5-0.5B
59,0.8,0.6324689388275146,256,192,32,279.1089172363281,2.8334662914276123,mps,Qwen/Qwen2.5-0.5B
130,0.2,0.9412635564804077,256,192,32,280.1658630371094,2.94638729095459,mps,Qwen/Qwen2.5-0.5B
130,0.4,0.7965371012687683,256,192,32,280.1658630371094,2.94638729095459,mps,Qwen/Qwen2.5-0.5B
130,0.6,0.5399754047393799,256,192,32,280.1658630371094,2.94638729095459,mps,Qwen/Qwen2.5-0.5B
130,0.8,0.6899722814559937,256,192,32,280.1658630371094,2.94638729095459,mps,Qwen/Qwen2.5-0.5B
133,0.2,0.6961369514465332,256,192,32,277.2102966308594,2.9250175952911377,mps,Qwen/Qwen2.5-0.5B
133,0.4,0.5848170518875122,256,192,32,277.2102966308594,2.9250175952911377,mps,Qwen/Qwen2.5-0.5B
133,0.6,0.37838149070739746,256,192,32,277.2102966308594,2.9250175952911377,mps,Qwen/Qwen2.5-0.5B
133,0.8,0.5775560140609741,256,192,32,277.2102966308594,2.9250175952911377,mps,Qwen/Qwen2.5-0.5B
